Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
BANTEN;Kota Serang;23.4;Medium;692.101;6.8;100;66.7;10.6;274;16;186;608;606;998
BANTEN;Kota Tangerang;15.3;Low;1.895.486;5.9;100;62.8;100;26;38;967;1.961;961;2.788
BANTEN;Kota Tangerang Selatan;19.9;Low;1.354.350;2.6;97.7;81;16.1;24;29;427;2.015;834;2.629
JABAR;Kabupaten Bandung;31.1;High;3.773.706;7.2;90.3;74.6;74.7;10;62;4.238;742;822;1.952
JABAR;Kabupaten Bandung Barat;29.6;Medium;1.690.441;11.3;100;88.2;100;9;32;1.858;303;638;1.047
JABAR;Kabupaten Bekasi;21.5;Medium;3.922.987;5.2;91;95.5;29;51;44;1.752;3.728;1.628;3.957
JABAR;Kabupaten Bogor;28.6;Medium;6.067.956;8.1;74;87.5;20;29;101;2.585;1.879;1.952;3.995
JABAR;Kabupaten Ciamis;16;Low;1.213.198;8;85.5;95.4;67.6;6;37;1.515;384;897;1.665
JABAR;Kabupaten Cianjur;33.7;High;2.329.635;11.2;93;100;84;5;47;2.929;552;1.117;952
JABAR;Kabupaten Cirebon;26.5;Medium;2.206.614;12.3;91;23.9;70;12;60;1.791;858;1.628;2.969
JABAR;Kabupaten Garut;35.2;High;2.644.843;10.7;97;81.5;86;7;67;4.194;416;1.624;2.870
JABAR;Kabupaten Indramayu;14.4;Low;1.755.685;13;82;74.3;60;11;49;1.985;401;988;1.560
JABAR;Kabupaten Karawang;20.6;Medium;2.359.078;9;44;39.1;85;25;50;1.595;884;1.502;3.093
JABAR;Kabupaten Kuningan;18.7;Low;1.095.444;13.1;90.1;80.3;33.2;12;37;1.346;360;961;1.242
JABAR;Kabupaten Majalengka;23;Medium;1.227.163;12.3;89;53.7;60;5;32;716;225;945;1.070
JABAR;Kabupaten Pangandaran;22.7;Medium;405.331;9.7;88.3;96.6;34.4;1;15;531;121;437;644
JABAR;Kabupaten Purwakarta;20.6;Medium;956.057;8.8;94;48.6;62;11;20;704;417;612;1.494
JABAR;Kabupaten Subang;18.1;Low;1.586.736;10;100;68.4;100;9;40;1.372;428;1.147;1.856
JABAR;Kabupaten Sukabumi;24.2;Medium;2.526.878;7.7;99.7;100;100;9;58;1.650;623;1.452;2.156
JABAR;Kabupaten Sumedang;22;Medium;1.180.550;10.7;95.8;79;81.2;3;35;1.264;183;2.670;1.217
